Name,HoF,WAR,WAR7,JAWS,Yrs,From,To,ASG,W,L,W-L%,ERA,ERA+,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF
Will White,0,34.5,35,34.8,10,1877,1886,0,229,166,0.58,2.28,121,403,402,1,394,36,0,3542.2,3440,1844,896,65,496,,1041,68,0,221,14951
Mike Caldwell,0,19.2,20.8,20,14,1971,1984,0,137,130,0.513,3.81,99,475,307,77,98,23,18,2408.2,2581,1182,1020,218,597,62,939,35,9,65,10156
Ray Culp,0,15.1,19.3,17.2,11,1963,1973,2,122,101,0.547,3.58,100,322,268,21,80,22,1,1898.1,1677,863,755,188,752,58,1411,70,3,73,8066
Ray Sadecki,0,19,18,18.5,18,1960,1977,0,135,131,0.508,3.78,98,563,328,75,85,20,7,2500.1,2456,1206,1051,240,922,82,1614,41,6,94,10694
Pete Vuckovich,0,16.7,17.5,17.1,11,1975,1986,0,93,69,0.574,3.66,104,286,186,67,38,8,10,1455.1,1454,665,592,107,545,29,882,35,10,46,6189
Jim Colborn,0,16.4,17,16.7,10,1969,1978,1,83,88,0.485,3.8,98,301,204,32,60,8,7,1597.1,1619,750,675,153,475,41,688,41,9,36,6744
Lynn McGlothen,0,14.1,16.3,15.2,11,1972,1982,1,86,93,0.48,3.98,94,318,201,37,41,13,2,1497.2,1553,735,663,127,572,63,939,25,3,27,6468
Steve Blass,0,6.9,12.5,9.2,10,1964,1974,1,103,76,0.575,3.63,95,282,231,14,57,16,2,1597.1,1558,739,644,128,597,49,896,38,4,56,6780
Ross Grimsley,0,6.6,11.6,9.1,11,1971,1982,1,124,99,0.556,3.81,92,345,295,17,79,15,3,2039.1,2105,947,863,202,559,49,750,15,9,40,8544
Tom Browning,0,19.6,18.3,19,12,1984,1995,1,123,90,0.577,3.94,97,302,300,1,31,12,0,1921,1931,913,841,236,511,61,1000,32,13,25,8066
Kirk Rueter,0,16,14.1,15.1,13,1993,2005,0,130,92,0.586,4.27,97,340,336,1,4,1,0,1918,2092,1004,911,220,582,41,818,25,0,24,8210
Bob Porterfield,0,17.1,18.4,17.8,12,1948,1959,1,87,97,0.473,3.79,103,318,193,45,92,23,8,1567.2,1571,732,660,113,552,20,572,14,3,21,6646
Bruce Kison,0,14.3,12.6,13.5,15,1971,1985,0,115,88,0.567,3.66,102,380,246,54,36,8,12,1809.2,1693,839,736,150,662,58,1073,68,11,58,7676
Ron Darling,0,19,17,18,13,1983,1995,1,136,116,0.54,3.87,95,382,364,5,37,13,0,2360.1,2244,1139,1016,239,906,40,1590,59,24,97,10032
Vic Raschi,0,16.3,16.4,16.4,10,1946,1955,4,132,66,0.667,3.72,105,269,255,5,106,26,3,1819,1666,828,752,138,727,5,944,26,8,44,7675
Doc Medich,0,20.1,18.4,19.3,11,1972,1982,0,124,105,0.541,3.78,99,312,287,8,71,16,2,1996.2,2036,925,838,151,624,48,955,35,6,49,8471
Pat Dobson,0,18.3,18.3,18.3,11,1967,1977,1,122,129,0.486,3.54,100,414,279,51,74,14,19,2120.1,2043,939,833,197,665,76,1301,26,5,51,8872
Mudcat Grant,0,19.4,17.2,18.3,14,1958,1971,2,145,119,0.549,3.63,100,571,293,160,89,18,54,2442,2292,1105,985,292,849,59,1267,33,3,60,10293
Jim Lonborg,0,14.8,17.9,15.4,15,1965,1979,1,157,137,0.534,3.86,95,425,368,24,90,15,4,2464.1,2400,1170,1056,233,823,71,1475,105,9,73,10498
Randy Jones,0,18.9,20.6,19.8,10,1973,1982,2,100,123,0.448,3.42,101,305,285,11,73,19,2,1933,1915,875,735,129,503,88,735,18,6,19,8069
Nelson Briles,0,20.5,17.1,18.8,14,1965,1978,0,129,112,0.535,3.44,103,452,279,74,64,17,22,2111.2,2141,929,807,186,547,79,1163,51,5,50,8858
Jim Bibby,0,18.6,19.9,19.3,12,1972,1984,1,111,101,0.524,3.76,99,340,239,39,56,19,8,1722.2,1565,800,719,131,723,38,1079,40,13,70,7310
Rudy May,0,20.8,17.8,19.3,16,1965,1983,0,152,156,0.494,3.46,102,535,360,73,87,24,12,2622,2314,1150,1007,199,958,56,1760,42,18,67,10902
Bobby Witt,0,14.8,15.9,15.4,16,1986,2001,0,142,157,0.475,4.83,91,430,397,13,47,11,0,2465,2493,1449,1324,252,1375,37,1955,39,26,128,11003
Aaron Sele,0,20.1,19.1,19.6,15,1993,2007,2,148,112,0.569,4.61,100,404,352,15,15,9,0,2153,2413,1208,1102,225,798,39,1407,112,2,54,9534
Steve Stone,0,18.7,17.4,18.1,11,1971,1981,1,107,93,0.535,3.97,98,320,269,15,43,7,1,1788.1,1707,880,788,184,716,22,1065,40,5,31,7640
Jack Billingham,0,10.1,13.8,12,13,1968,1980,1,145,113,0.562,3.83,94,476,305,83,74,27,15,2231.1,2272,1069,949,176,750,97,1141,98,4,84,9487
Jim Deshaies,0,13.7,16.5,15.1,12,1984,1995,0,84,95,0.469,4.14,91,257,253,1,15,6,0,1525,1434,743,702,179,575,39,951,27,35,19,6432
Lew Krausse,0,2,6.2,4.1,12,1961,1974,0,68,91,0.428,4,85,321,167,71,21,5,21,1283.2,1205,635,571,137,493,62,721,35,1,29,5490
Dock Ellis,0,15.1,14.8,15,12,1968,1979,1,138,119,0.537,3.46,104,345,317,10,71,14,1,2128,2067,958,817,140,674,66,1136,44,9,45,8978
Jim Hearn,0,17.4,16.5,17,13,1947,1959,1,109,89,0.551,3.81,105,396,229,73,63,10,8,1703.2,1661,847,721,158,655,22,669,25,1,34,7294
Steve Barber,0,18,18.4,18.2,15,1960,1974,2,121,106,0.533,3.36,105,466,272,90,59,21,14,1999,1818,870,747,125,950,59,1309,42,6,91,8591
Woodie Fryman,0,18.3,18.4,18.4,18,1966,1983,2,141,155,0.476,3.77,96,625,322,160,68,27,58,2411.1,2367,1136,1010,187,890,79,1587,68,16,68,10291
Carl Erskine,0,16.6,16.4,16.5,12,1948,1959,1,122,78,0.61,4,101,335,216,61,71,14,13,1718.2,1637,830,763,199,646,13,981,16,1,38,7270
Pat Zachry,0,11.9,11.6,11.8,10,1976,1985,1,69,67,0.507,3.52,102,293,154,44,29,7,3,1177.1,1147,529,461,88,495,46,669,21,10,19,5050
Shane Reynolds,0,18,18.7,18.4,13,1992,2004,1,114,96,0.543,4.09,103,305,278,5,20,7,0,1791.2,1935,895,814,191,419,33,1403,41,8,38,7610
